id_caso,fecha_solicitud,semestre,facultad,programa,motivo,tipo_atencion,tiempo_respuesta_horas,satisfaccion_estudiante,region
CASO00001,08/11/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Tutoría,0.6,5,Rionegro
CASO00002,10/02/2024,2024-1,Artes y Humanidades,Comunicación,Dificultad académica,Tutoría,24.8,2,Itagüí
CASO00003,07/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Problemas personales,Académica,36.5,5,Rionegro
CASO00004,15/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Orientación de matrícula,Académica,26.2,2,Itagüí
CASO00005,24/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Académica,24.3,5,Itagüí
CASO00006,22/07/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Académica,22.6,5,Itagüí
CASO00007,30/11/2024,2024-2,Ingeniería,Ingeniería Electrónica,Problemas personales,Tutoría,55.0,4,Itagüí
CASO00008,28/09/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Tutoría,22.6,5,Medellín
CASO00009,11/08/2024,2024-2,Artes y Humanidades,Artes Escénicas,Dificultad académica,Psicosocial,0.5,5,Apartadó
CASO00010,26/09/2024,2024-2,Ciencias Económicas,Economía,Orientación de matrícula,Tutoría,13.3,3,Rionegro
CASO00011,23/09/2024,2024-2,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,28.9,5,Medellín
CASO00012,23/01/2024,2024-1,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Académica,35.0,5,Apartadó
CASO00013,01/06/2024,2024-1,Ingeniería,Ingeniería Electrónica,Dificultad académica,Psicosocial,21.9,3,Rionegro
CASO00014,11/04/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Tutoría,19.3,2,Rionegro
CASO00015,24/09/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Tutoría,11.7,4,Apartadó
CASO00016,04/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Psicosocial,7.2,3,Rionegro
CASO00017,04/02/2024,2024-1,Artes y Humanidades,Comunicación,Acceso a plataforma,Mesa de ayuda,15.4,4,Medellín
CASO00018,01/04/2024,2024-1,Ciencias Económicas,Economía,Orientación de matrícula,Tutoría,9.7,2,Medellín
CASO00019,21/10/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Tutoría,23.5,4,Medellín
CASO00020,02/08/2024,2024-2,Ciencias Económicas,Contaduría,Problemas personales,Mesa de ayuda,10.1,4,Rionegro
CASO00021,08/12/2024,2024-2,Ciencias Económicas,Economía,Soporte técnico,Académica,20.2,2,Itagüí
CASO00022,05/10/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Académica,22.5,2,Medellín
CASO00023,28/01/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Orientación de matrícula,Académica,31.8,2,Apartadó
CASO00024,29/10/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Tutoría,45.6,3,Medellín
CASO00025,07/05/2024,2024-1,Ingeniería,Ingeniería Electrónica,Problemas personales,Mesa de ayuda,47.9,5,Medellín
CASO00026,08/06/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Tutoría,29.7,4,Medellín
CASO00027,28/06/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Problemas personales,Mesa de ayuda,28.3,5,Apartadó
CASO00028,14/12/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Académica,12.8,4,Rionegro
CASO00029,07/03/2024,2024-1,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Psicosocial,48.8,4,Itagüí
CASO00030,05/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Tutoría,13.8,2,Itagüí
CASO00031,20/08/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Tutoría,41.2,2,Medellín
CASO00032,08/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Tutoría,0.5,5,Itagüí
CASO00033,23/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Psicosocial,12.4,2,Itagüí
CASO00034,26/11/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Psicosocial,19.3,2,Apartadó
CASO00035,19/02/2024,2024-1,Ciencias Económicas,Contaduría,Orientación de matrícula,Psicosocial,46.3,2,Itagüí
CASO00036,29/01/2024,2024-1,Ingeniería,Ingeniería Mecánica,Dificultad académica,Tutoría,16.3,5,Itagüí
CASO00037,30/10/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Psicosocial,28.9,3,Medellín
CASO00038,05/06/2024,2024-1,Ingeniería,Ingeniería Electrónica,Soporte técnico,Psicosocial,48.9,2,Itagüí
CASO00039,13/12/2024,2024-2,Artes y Humanidades,Comunicación,Soporte técnico,Mesa de ayuda,7.9,3,Apartadó
CASO00040,04/05/2024,2024-1,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Mesa de ayuda,20.4,2,Itagüí
CASO00041,16/08/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Tutoría,38.6,3,Itagüí
CASO00042,01/10/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Mesa de ayuda,16.8,4,Apartadó
CASO00043,12/12/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Psicosocial,17.5,5,Itagüí
CASO00044,11/12/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Académica,45.3,5,Apartadó
CASO00045,21/05/2024,2024-1,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Tutoría,10.3,5,Itagüí
CASO00046,27/09/2024,2024-2,Ingeniería,Ingeniería Mecánica,Orientación de matrícula,Mesa de ayuda,28.8,4,Rionegro
CASO00047,25/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Académica,16.4,4,Rionegro
CASO00048,03/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Mesa de ayuda,21.1,3,Itagüí
CASO00049,10/08/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Académica,15.6,5,Itagüí
CASO00050,10/10/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Académica,34.5,3,Itagüí
CASO00051,29/01/2024,2024-1,Ciencias Económicas,Contaduría,Dificultad académica,Mesa de ayuda,8.8,4,Itagüí
CASO00052,06/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Problemas personales,Mesa de ayuda,44.3,3,Medellín
CASO00053,16/02/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Académica,9.3,5,Medellín
CASO00054,23/06/2024,2024-1,Ingeniería,Ingeniería Mecánica,Problemas personales,Académica,12.7,2,Apartadó
CASO00055,01/08/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Mesa de ayuda,34.9,4,Itagüí
CASO00056,13/02/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Psicosocial,36.2,3,Itagüí
CASO00057,15/03/2024,2024-1,Ingeniería,Ingeniería Electrónica,Problemas personales,Académica,9.4,5,Medellín
CASO00058,03/10/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Académica,16.7,3,Medellín
CASO00059,01/08/2024,2024-2,Ingeniería,Ingeniería Electrónica,Problemas personales,Psicosocial,32.6,3,Rionegro
CASO00060,10/05/2024,2024-1,Artes y Humanidades,Comunicación,Dificultad académica,Académica,25.7,4,Rionegro
CASO00061,21/02/2024,2024-1,Artes y Humanidades,Comunicación,Acceso a plataforma,Psicosocial,43.1,2,Apartadó
CASO00062,03/09/2024,2024-2,Ciencias Económicas,Contaduría,Acceso a plataforma,Académica,32.7,2,Apartadó
CASO00063,20/11/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Tutoría,16.0,4,Itagüí
CASO00064,08/12/2024,2024-2,Ciencias Económicas,Contaduría,Soporte técnico,Tutoría,17.2,3,Apartadó
CASO00065,17/08/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Tutoría,19.9,2,Itagüí
CASO00066,27/02/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Problemas personales,Psicosocial,5.0,2,Rionegro
CASO00067,04/11/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Tutoría,29.2,5,Medellín
CASO00068,15/10/2024,2024-2,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Académica,34.4,4,Apartadó
CASO00069,29/11/2024,2024-2,Artes y Humanidades,Comunicación,Dificultad académica,Mesa de ayuda,0.5,3,Itagüí
CASO00070,07/09/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Mesa de ayuda,22.6,5,Medellín
CASO00071,13/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Psicosocial,17.2,3,Medellín
CASO00072,04/12/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Tutoría,32.9,5,Medellín
CASO00073,09/11/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Académica,17.9,2,Rionegro
CASO00074,22/05/2024,2024-1,Ingeniería,Ingeniería Mecánica,Problemas personales,Académica,38.0,3,Itagüí
CASO00075,24/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Académica,20.1,3,Medellín
CASO00076,03/02/2024,2024-1,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Académica,33.9,5,Itagüí
CASO00077,22/02/2024,2024-1,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Tutoría,29.4,2,Apartadó
CASO00078,28/01/2024,2024-1,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Psicosocial,11.1,4,Apartadó
CASO00079,25/11/2024,2024-2,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Académica,33.5,2,Itagüí
CASO00080,23/03/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Psicosocial,10.0,4,Apartadó
CASO00081,13/11/2024,2024-2,Artes y Humanidades,Comunicación,Soporte técnico,Tutoría,9.4,3,Apartadó
CASO00082,16/11/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Tutoría,17.9,4,Itagüí
CASO00083,10/03/2024,2024-1,Ingeniería,Ingeniería Electrónica,Dificultad académica,Tutoría,48.4,4,Itagüí
CASO00084,31/05/2024,2024-1,Ciencias Económicas,Administración,Problemas personales,Psicosocial,49.8,3,Itagüí
CASO00085,19/07/2024,2024-2,Ciencias Económicas,Economía,Orientación de matrícula,Mesa de ayuda,17.4,3,Itagüí
CASO00086,24/11/2024,2024-2,Ingeniería,Ingeniería Electrónica,Soporte técnico,Tutoría,24.2,4,Medellín
CASO00087,29/04/2024,2024-1,Artes y Humanidades,Comunicación,Acceso a plataforma,Académica,23.4,5,Itagüí
CASO00088,17/09/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Académica,31.9,3,Rionegro
CASO00089,28/03/2024,2024-1,Artes y Humanidades,Comunicación,Soporte técnico,Psicosocial,3.6,4,Apartadó
CASO00090,09/12/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Mesa de ayuda,43.9,3,Rionegro
CASO00091,21/01/2024,2024-1,Ciencias Económicas,Economía,Soporte técnico,Mesa de ayuda,19.7,4,Medellín
CASO00092,29/10/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Mesa de ayuda,39.5,3,Apartadó
CASO00093,03/12/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Tutoría,15.2,2,Medellín
CASO00094,13/06/2024,2024-1,Ingeniería,Ingeniería Electrónica,Problemas personales,Académica,27.7,4,Medellín
CASO00095,21/10/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Mesa de ayuda,19.1,3,Apartadó
CASO00096,24/07/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Mesa de ayuda,22.4,5,Medellín
CASO00097,20/11/2024,2024-2,Ciencias Económicas,Contaduría,Problemas personales,Psicosocial,13.0,5,Medellín
CASO00098,20/08/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Académica,25.3,2,Rionegro
CASO00099,09/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Acceso a plataforma,Académica,35.1,5,Medellín
CASO00100,11/02/2024,2024-1,Ciencias Económicas,Economía,Dificultad académica,Tutoría,10.7,2,Apartadó
CASO00101,01/11/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Psicosocial,21.6,5,Medellín
CASO00102,14/12/2024,2024-2,Ciencias Económicas,Contaduría,Orientación de matrícula,Académica,26.4,3,Apartadó
CASO00103,25/02/2024,2024-1,Artes y Humanidades,Comunicación,Soporte técnico,Tutoría,42.3,3,Rionegro
CASO00104,27/10/2024,2024-2,Ingeniería,Ingeniería Electrónica,Problemas personales,Psicosocial,27.6,4,Apartadó
CASO00105,09/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Problemas personales,Mesa de ayuda,7.3,4,Itagüí
CASO00106,22/04/2024,2024-1,Ingeniería,Ingeniería Mecánica,Soporte técnico,Académica,10.9,2,Itagüí
CASO00107,28/02/2024,2024-1,Ingeniería,Ingeniería Electrónica,Soporte técnico,Académica,42.1,5,Rionegro
CASO00108,21/05/2024,2024-1,Artes y Humanidades,Artes Escénicas,Dificultad académica,Mesa de ayuda,23.2,2,Itagüí
CASO00109,25/03/2024,2024-1,Ciencias Económicas,Economía,Orientación de matrícula,Psicosocial,35.2,4,Rionegro
CASO00110,07/12/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Tutoría,37.7,2,Itagüí
CASO00111,13/08/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Mesa de ayuda,41.2,4,Medellín
CASO00112,25/01/2024,2024-1,Ciencias Económicas,Economía,Acceso a plataforma,Mesa de ayuda,25.4,4,Medellín
CASO00113,26/07/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Tutoría,16.9,4,Medellín
CASO00114,20/11/2024,2024-2,Ciencias Económicas,Administración,Orientación de matrícula,Mesa de ayuda,36.6,5,Apartadó
CASO00115,15/08/2024,2024-2,Ciencias Económicas,Contaduría,Soporte técnico,Académica,27.3,4,Medellín
CASO00116,28/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Psicosocial,33.7,4,Itagüí
CASO00117,17/08/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Académica,38.7,4,Apartadó
CASO00118,06/08/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Académica,6.5,2,Apartadó
CASO00119,06/12/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Problemas personales,Mesa de ayuda,37.0,3,Medellín
CASO00120,24/08/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Mesa de ayuda,19.9,4,Itagüí
CASO00121,23/02/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Tutoría,11.7,4,Medellín
CASO00122,01/09/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Psicosocial,50.6,5,Apartadó
CASO00123,02/09/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Tutoría,37.6,3,Medellín
CASO00124,25/04/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Tutoría,18.3,4,Rionegro
CASO00125,15/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Académica,26.1,3,Rionegro
CASO00126,22/03/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Académica,21.3,2,Apartadó
CASO00127,27/11/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Psicosocial,46.7,3,Apartadó
CASO00128,25/05/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Tutoría,32.4,4,Apartadó
CASO00129,30/08/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Tutoría,32.0,5,Medellín
CASO00130,15/05/2024,2024-1,Artes y Humanidades,Comunicación,Soporte técnico,Tutoría,34.8,2,Apartadó
CASO00131,17/07/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Psicosocial,16.3,2,Apartadó
CASO00132,29/05/2024,2024-1,Ciencias Económicas,Contaduría,Problemas personales,Mesa de ayuda,1.9,2,Medellín
CASO00133,21/04/2024,2024-1,Ciencias Económicas,Administración,Problemas personales,Psicosocial,21.5,3,Rionegro
CASO00134,05/12/2024,2024-2,Artes y Humanidades,Artes Escénicas,Dificultad académica,Psicosocial,41.0,3,Medellín
CASO00135,08/08/2024,2024-2,Ciencias Económicas,Economía,Orientación de matrícula,Psicosocial,44.7,3,Itagüí
CASO00136,01/05/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Psicosocial,10.6,5,Medellín
CASO00137,19/08/2024,2024-2,Artes y Humanidades,Comunicación,Soporte técnico,Mesa de ayuda,20.6,2,Itagüí
CASO00138,26/01/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Tutoría,46.6,2,Medellín
CASO00139,06/08/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Psicosocial,60.5,2,Rionegro
CASO00140,30/05/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Tutoría,38.9,5,Itagüí
CASO00141,24/11/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Tutoría,0.5,4,Apartadó
CASO00142,22/08/2024,2024-2,Ciencias Económicas,Administración,Problemas personales,Mesa de ayuda,45.8,3,Rionegro
CASO00143,03/08/2024,2024-2,Artes y Humanidades,Artes Escénicas,Dificultad académica,Mesa de ayuda,44.1,5,Apartadó
CASO00144,08/08/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Tutoría,0.5,5,Rionegro
CASO00145,16/11/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Mesa de ayuda,28.0,4,Rionegro
CASO00146,02/04/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Académica,36.2,3,Apartadó
CASO00147,24/07/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Tutoría,7.3,2,Rionegro
CASO00148,30/07/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Académica,15.0,4,Rionegro
CASO00149,29/03/2024,2024-1,Ciencias Económicas,Economía,Orientación de matrícula,Psicosocial,51.8,4,Itagüí
CASO00150,28/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Problemas personales,Mesa de ayuda,37.1,2,Itagüí
CASO00151,29/06/2024,2024-1,Ciencias Económicas,Administración,Orientación de matrícula,Académica,33.2,5,Rionegro
CASO00152,16/03/2024,2024-1,Ingeniería,Ingeniería Electrónica,Dificultad académica,Académica,6.8,2,Itagüí
CASO00153,18/10/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Académica,23.6,5,Apartadó
CASO00154,12/10/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Psicosocial,32.5,5,Medellín
CASO00155,16/04/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Mesa de ayuda,14.3,4,Medellín
CASO00156,18/10/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Tutoría,31.8,4,Itagüí
CASO00157,15/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Acceso a plataforma,Tutoría,42.8,2,Apartadó
CASO00158,10/08/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Mesa de ayuda,22.0,3,Apartadó
CASO00159,01/08/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Psicosocial,19.5,5,Medellín
CASO00160,30/09/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Mesa de ayuda,42.1,2,Apartadó
CASO00161,29/10/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Académica,26.4,5,Rionegro
CASO00162,30/07/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Académica,15.1,2,Apartadó
CASO00163,12/12/2024,2024-2,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Tutoría,26.8,5,Rionegro
CASO00164,20/03/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Psicosocial,17.4,4,Itagüí
CASO00165,13/11/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Académica,30.1,4,Medellín
CASO00166,18/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Psicosocial,20.0,2,Apartadó
CASO00167,27/11/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Psicosocial,0.5,5,Medellín
CASO00168,07/06/2024,2024-1,Artes y Humanidades,Comunicación,Problemas personales,Mesa de ayuda,48.1,5,Medellín
CASO00169,26/04/2024,2024-1,Ciencias Económicas,Contaduría,Problemas personales,Mesa de ayuda,10.7,3,Rionegro
CASO00170,14/05/2024,2024-1,Ciencias Económicas,Administración,Acceso a plataforma,Mesa de ayuda,22.3,4,Medellín
CASO00171,11/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Mesa de ayuda,13.6,4,Medellín
CASO00172,28/03/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Tutoría,26.4,3,Rionegro
CASO00173,04/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Soporte técnico,Académica,40.9,3,Medellín
CASO00174,07/11/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Académica,5.6,3,Apartadó
CASO00175,03/09/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Psicosocial,24.4,3,Rionegro
CASO00176,23/08/2024,2024-2,Artes y Humanidades,Comunicación,Dificultad académica,Psicosocial,35.5,2,Itagüí
CASO00177,15/02/2024,2024-1,Artes y Humanidades,Artes Escénicas,Soporte técnico,Psicosocial,15.3,3,Itagüí
CASO00178,23/09/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Académica,22.8,2,Apartadó
CASO00179,28/01/2024,2024-1,Artes y Humanidades,Artes Escénicas,Problemas personales,Académica,42.4,5,Apartadó
CASO00180,26/01/2024,2024-1,Ciencias Económicas,Economía,Problemas personales,Tutoría,21.3,4,Apartadó
CASO00181,07/03/2024,2024-1,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,45.2,3,Rionegro
CASO00182,13/12/2024,2024-2,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,30.7,2,Apartadó
CASO00183,02/08/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Académica,5.7,3,Medellín
CASO00184,04/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Mesa de ayuda,29.5,3,Medellín
CASO00185,20/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Mesa de ayuda,29.0,4,Medellín
CASO00186,23/02/2024,2024-1,Ciencias Económicas,Contaduría,Problemas personales,Psicosocial,5.4,4,Apartadó
CASO00187,09/04/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Tutoría,17.3,2,Medellín
CASO00188,07/02/2024,2024-1,Ingeniería,Ingeniería Electrónica,Problemas personales,Psicosocial,33.9,2,Itagüí
CASO00189,07/04/2024,2024-1,Artes y Humanidades,Comunicación,Soporte técnico,Mesa de ayuda,0.5,2,Apartadó
CASO00190,07/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Académica,32.4,4,Medellín
CASO00191,14/10/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Tutoría,32.8,3,Medellín
CASO00192,14/02/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Mesa de ayuda,46.1,5,Apartadó
CASO00193,16/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Problemas personales,Mesa de ayuda,0.5,2,Itagüí
CASO00194,06/05/2024,2024-1,Ingeniería,Ingeniería Mecánica,Orientación de matrícula,Psicosocial,26.8,2,Itagüí
CASO00195,11/04/2024,2024-1,Ciencias Económicas,Economía,Problemas personales,Psicosocial,16.6,3,Apartadó
CASO00196,03/03/2024,2024-1,Ingeniería,Ingeniería Mecánica,Dificultad académica,Psicosocial,14.0,3,Itagüí
CASO00197,06/11/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Tutoría,27.2,3,Rionegro
CASO00198,20/10/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Psicosocial,28.9,4,Itagüí
